Country Name,Country Code,2019
Aruba,ABW,0.442121959444383
Afghanistan,AFG,2.31181721714573
Angola,AGO,3.2429826028718
Albania,ALB,-0.42600736703223796
Andorra,AND,0.17645384343283102
Arab World,ARB,1.9246927332871002
United Arab Emirates,ARE,1.4387804448597301
Argentina,ARG,0.9933974932930459
Armenia,ARM,0.201539722879792
American Samoa,ASM,-0.276230801135428
Antigua and Barbuda,ATG,0.8603804806781179
Australia,AUS,1.51598445404769
Austria,AUT,0.412539808816785
Azerbaijan,AZE,0.837019639355119
Burundi,BDI,3.12896711408085
Belgium,BEL,0.49758497161920295
Benin,BEN,2.7151053590836205
Burkina Faso,BFA,2.8442225525623197
Bangladesh,BGD,1.0420011284052
Bulgaria,BGR,-0.7039056411174549
Bahrain,BHR,4.469239008933731
"Bahamas, The",BHS,0.9913359353055631
Bosnia and Herzegovina,BIH,-0.692206408656095
Belarus,BLR,-0.17564846968796202
Belize,BLZ,1.88311073570597
Bermuda,BMU,-0.00312891113892766
Bolivia,BOL,1.39909836758217
Brazil,BRA,0.75154842651724
Barbados,BRB,0.133875829263984
Brunei Darussalam,BRN,1.00273731829347
Bhutan,BTN,1.14638227394932
Botswana,BWA,2.1752909092404
Central African Republic,CAF,1.6747452118647799
Canada,CAN,1.42405130729193
Switzerland,CHE,0.708089212766107
Channel Islands,CHI,1.02697265622261
Chile,CHL,1.1829804307293301
China,CHN,0.357291063115687
Cote d'Ivoire,CIV,2.5493362392792798
Cameroon,CMR,2.58424710709784
"Congo, Dem. Rep.",COD,3.18708630238904
"Congo, Rep.",COG,2.5629008034182004
Colombia,COL,1.38170201436676
Comoros,COM,2.20587743735692
Cabo Verde,CPV,1.12792431423236
Costa Rica,CRI,0.9579050138504129
Cuba,CUB,-0.041064554364362994
Curacao,CUW,-1.42563343261042
Cayman Islands,CYM,1.1988805480967601
Cyprus,CYP,0.779788191505342
Czech Republic,CZE,0.37353731667249
Germany,DEU,0.273451073953555
Djibouti,DJI,1.51518050206022
Dominica,DMA,0.255171542527292
Denmark,DNK,0.429153163832595
Dominican Republic,DOM,1.04646051306009
Algeria,DZA,1.9339501912150099
Ecuador,ECU,1.6792131785026
"Egypt, Arab Rep.",EGY,1.9762843480882901
Eritrea,ERI,
Spain,ESP,0.594469675339612
Estonia,EST,0.348339661751493
Ethiopia,ETH,2.57956334803926
Finland,FIN,0.0867899631484352
Fiji,FJI,0.7296602420868091
France,FRA,0.140234217742883
Faroe Islands,FRO,0.37252422807893604
"Micronesia, Fed. Sts.",FSM,1.03774307896197
Gabon,GAB,2.4840892069669502
United Kingdom,GBR,0.561255390388033
Georgia,GEO,-0.16562531356240398
Ghana,GHA,2.1625778867710803
Gibraltar,GIB,-0.0504308885041264
Guinea,GIN,2.8345753816862898
"Gambia, The",GMB,2.92185023710734
Guinea-Bissau,GNB,2.45652209459577
Equatorial Guinea,GNQ,3.5285240741079997
Greece,GRC,-0.15441135522152302
Grenada,GRD,0.491370692894964
Greenland,GRL,0.35991771445411896
Guatemala,GTM,1.56038604781094
Guam,GUM,0.9163523177006279
Guyana,GUY,0.48176201056031503
"Hong Kong SAR, China",HKG,0.7540949201725692
Honduras,HND,1.64064879291134
Croatia,HRV,-0.49888869647906
Haiti,HTI,1.24989940326034
Hungary,HUN,-0.0574556437016089
Indonesia,IDN,1.1005845868521102
Isle of Man,IMN,0.6012077802558821
India,IND,1.01510602753472
Ireland,IRL,1.5114940375131598
"Iran, Islamic Rep.",IRN,1.35222602321056
Iraq,IRQ,2.25413421903288
Iceland,ISL,2.4067242529697497
Israel,ISR,1.90125095125148
Italy,ITA,-0.206038624053582
Jamaica,JAM,0.456356197137556
Jordan,JOR,1.4526643189473998
Japan,JPN,-0.20899947290229298
Kazakhstan,KAZ,1.29074221770545
Kenya,KEN,2.27190164034829
Kyrgyz Republic,KGZ,2.09871784350026
Cambodia,KHM,1.44639338013252
Kiribati,KIR,1.5069699582700002
St. Kitts and Nevis,KNA,0.725797379770302
"Korea, Rep.",KOR,0.19835320837025897
Kuwait,KWT,1.6723231832450198
Lao PDR,LAO,1.5171155747641
Lebanon,LBN,0.0990613623664896
Liberia,LBR,2.4271946041912202
Libya,LBY,1.4697776530576203
St. Lucia,LCA,0.494134202023454
Liechtenstein,LIE,0.287110523979341
Sri Lanka,LKA,0.611875945764341
Lesotho,LSO,0.8095664756798199
Lithuania,LTU,-0.5260564058200611
Luxembourg,LUX,1.9459080290974
Latvia,LVA,-0.7492294738853149
"Macao SAR, China",MAC,1.38499683787543
St. Martin (French part),MAF,1.9611076778354999
Morocco,MAR,1.22105092988365
Monaco,MCO,0.7263767352170959
Moldova,MDA,-1.8052255377081101
Madagascar,MDG,2.65624016241262
Maldives,MDV,2.91560605041598
Mexico,MEX,1.0913621324692702
Marshall Islands,MHL,0.645031416343302
Middle income,MIC,1.03565053397206
North Macedonia,MKD,0.0240494411584019
Mali,MLI,2.99663676010293
Malta,MLT,3.65143580077893
Myanmar,MMR,0.625548337219885
Montenegro,MNE,-0.0144652208127193
Mongolia,MNG,1.71875309742159
Northern Mariana Islands,MNP,0.585463293020077
Mozambique,MOZ,2.90713743750143
Mauritania,MRT,2.7412802727648
Mauritius,MUS,0.0322400432027594
Malawi,MWI,2.64037519341292
Malaysia,MYS,1.3270606487616399
Namibia,NAM,1.8724808813069902
New Caledonia,NCL,1.30803110002856
Niger,NER,3.79366815330185
Nigeria,NGA,2.5648418857943
Nicaragua,NIC,1.22957367676273
Netherlands,NLD,0.5857244603183289
Norway,NOR,0.675061373245644
Nepal,NPL,1.8373370768844097
Nauru,NRU,-0.9729165135786179
New Zealand,NZL,1.5577277472244901
Oman,OMN,2.96831339383564
Pakistan,PAK,2.02921486315548
Panama,PAN,1.6517868907556101
Peru,PER,1.6161571969758501
Philippines,PHL,1.3639946791163102
Palau,PLW,0.5624405749808579
Papua New Guinea,PNG,1.95367908220702
Poland,POL,-0.0102073030655774
Puerto Rico,PRI,0.0106465459574109
"Korea, Dem. Peopleâ€™s Rep.",PRK,0.454319921690691
Portugal,PRT,-0.140172576776066
Paraguay,PRY,1.2651672710804098
West Bank and Gaza,PSE,2.51178246264674
French Polynesia,PYF,0.577415665471892
Qatar,QAT,1.79528505056432
Romania,ROU,-0.597497124413531
Russian Federation,RUS,-0.0722343781903799
Rwanda,RWA,2.60765264493972
South Asia,SAS,1.17879908981622
Saudi Arabia,SAU,1.67311172870933
Sudan,SDN,2.39143403307158
Senegal,SEN,2.7497474084413303
Singapore,SGP,1.1442833068892901
Solomon Islands,SLB,2.56538506367278
Sierra Leone,SLE,2.10907525200416
El Salvador,SLV,0.509683301933842
San Marino,SMR,0.22174597008515198
Somalia,SOM,2.85560211622181
Serbia,SRB,-0.540353661727366
South Sudan,SSD,0.7822244344049541
Sub-Saharan Africa,SSF,2.65707175729588
Sao Tome and Principe,STP,1.8907633234979901
Suriname,SUR,0.9298791776521271
Slovak Republic,SVK,0.13397129785832002
Slovenia,SVN,0.6752808083947399
Sweden,SWE,1.07758038117856
Eswatini,SWZ,1.0453091935408199
Sint Maarten (Dutch part),SXM,0.19413425930758801
Seychelles,SYC,0.8879252933416371
Syrian Arab Republic,SYR,0.964511740097553
Turks and Caicos Islands,TCA,1.3868604482097098
Chad,TCD,2.98593746093303
Togo,TGO,2.4203352084149703
Thailand,THA,0.283426556156345
Tajikistan,TJK,2.39054628853621
Turkmenistan,TKM,1.5463892175506802
Timor-Leste,TLS,1.96383558319426
Tonga,TON,1.2489870631059599
Trinidad and Tobago,TTO,0.36734765966047206
Tunisia,TUN,1.11364374282179
Turkey,TUR,1.33926035058318
Tuvalu,TUV,1.19203277256267
Tanzania,TZA,2.9516816732804196
Uganda,UGA,3.55574052888872
Ukraine,UKR,-0.533355282042411
Uruguay,URY,0.3598597610324121
United States,USA,0.47395353937329204
Uzbekistan,UZB,1.8773635424462602
St. Vincent and the Grenadines,VCT,0.3432989934037539
"Venezuela, RB",VEN,-1.23504114644487
British Virgin Islands,VGB,0.762137664197041
Virgin Islands (U.S.),VIR,-0.323958187523532
Vietnam,VNM,0.960110493934853
Vanuatu,VUT,2.4309201931192597
Samoa,WSM,0.491828866926665
Kosovo,XKX,-0.157991508452547
"Yemen, Rep.",YEM,2.3005801138944904
South Africa,ZAF,1.33861739063304
Zambia,ZMB,2.89237292696711
Zimbabwe,ZWE,1.4196810456150901
